,Date,Open,High,Low,Close,Volume,balance,percent,total_percent
159,2017-12-13,919.58,920.38,911.01,913.77,36522500.0,100000000,0.2490400438837062,29.26402750541112
160,2017-12-14,913.3,926.34,913.3,926.17,31253510.0,100000000,1.3570154415224813,30.621042946933603
161,2017-12-15,925.65,933.09,925.2,932.62,43015610.0,100000000,0.6964164246304724,31.317459371564077
162,2017-12-18,937.81,949.82,937.64,949.07,48689790.0,100000000,1.7638480838926944,33.08130745545677
163,2017-12-19,955.99,959.33,947.24,948.49,53106630.0,100000000,-0.06111245745835828,33.020194997998416
164,2017-12-20,947.51,954.96,942.07,948.93,49849630.0,100000000,0.046389524401937915,33.066584522400355
165,2017-12-21,944.9,953.26,943.68,945.28,44071260.0,100000000,-0.384643756652227,32.68194076574813
166,2017-12-22,939.48,946.01,937.75,943.32,45797590.0,100000000,-0.20734597156397286,32.474594794184156
167,2017-12-25,947.06,950.64,944.77,949.25,32318240.0,100000000,0.6286307933680988,33.10322558755225
168,2017-12-26,951.27,955.39,948.68,955.39,40875550.0,100000000,0.6468264419278363,33.75005202948009
169,2017-12-27,957.76,962.33,955.14,957.44,62597910.0,100000000,0.2145720595777712,33.96462408905786
170,2017-12-28,960.38,968.4,957.19,966.03,50832860.0,100000000,0.8971841577540021,34.86180824681186
171,2017-12-29,968.28,980.47,967.2,974.84,58334000.0,100000000,0.9119799592145234,35.77378820602638
172,2018-01-02,977.2,991.53,975.49,991.53,70151570.0,100000000,1.7120758278281503,37.48586403385453
173,2018-01-03,996.23,1011.84,995.74,1003.2,82640850.0,100000000,1.1769689268100887,38.66283296066462
174,2018-01-04,1007.6,1014.17,1006.96,1011.65,86867830.0,100000000,0.8423046251993552,39.50513758586398
175,2018-01-05,1014.42,1014.42,1005.1,1007.08,81777580.0,100000000,-0.45173726091038763,39.05340032495359
176,2018-01-08,1006.25,1020.78,1000.29,1019.53,102834680.0,100000000,1.236247368630092,40.28964769358368
177,2018-01-09,1028.05,1040.58,1019.52,1037.61,115981990.0,100000000,1.7733661589163563,42.063013852500035
178,2018-01-10,1040.61,1047.59,1033.54,1040.55,138468280.0,100000000,0.2833434527423651,42.3463573052424
179,2018-01-11,1039.7,1050.23,1031.43,1047.42,86997700.0,100000000,0.6602277641631943,43.006585069405595
180,2018-01-12,1050.08,1058.2,1044.85,1049.5,118669690.0,100000000,0.19858318535066422,43.20516825475626
181,2018-01-15,1050.35,1060.31,1042.64,1058.89,99091670.0,100000000,0.8947117675083468,44.09988002226461
182,2018-01-16,1056.95,1063.46,1047.9,1056.13,110654130.0,100000000,-0.26065030361982744,43.83922971864478
183,2018-01-17,1060.36,1061.49,1034.98,1034.98,96976050.0,100000000,-2.0025943775861013,41.83663534105868
184,2018-01-18,1028.39,1036.39,1013.11,1036.16,98286640.0,100000000,0.11401186496358033,41.95064720602226
185,2018-01-19,1050.01,1062.13,1046.92,1059.06,99743750.0,100000000,2.210083384805422,44.16073059082768
186,2018-01-22,1059.2,1084.09,1059.19,1082.71,91783390.0,100000000,2.2331123826789883,46.39384297350667
187,2018-01-25,1093.49,1109.98,1088.69,1095.64,169642790.0,100000000,1.1942256005763374,47.58806857408301
188,2018-01-26,1096.09,1112.59,1088.0,1100.52,89556890.0,100000000,0.44540177430541794,48.03347034838843
